Name,Tuition and fees
Princeton University;"$45,320 "
Harvard University;"$47,074 "
University of Chicago;"$52,491 "
Yale University;"$49,480 "
Columbia University;"$55,056 "
Stanford University;"$47,940 "
Massachusetts Institute of Technology;"$48,452 "
Duke University;"$51,265 "
University of Pennsylvania;"$51,464 "
Johns Hopkins University;"$50,410 "
Dartmouth College;"$51,438 "
California Institute of Technology;"$47,577 "
Northwestern University;"$50,855 "
Brown University;"$51,367 "
Cornell University;"$50,953 "
Rice University;"$43,918 "
University of Notre Dame;"$49,685 "
Vanderbilt University;"$45,610 "
Washington University in St. Louis;"$49,770 "
Emory University;"$47,954 "
Georgetown University;"$50,547 "
University of California--Berkeley;"$40,191 "
University of Southern California;"$52,217 "
Carnegie Mellon University;"$52,040 "
University of California--Los Angeles;"$39,518 "
University of Virginia;"$45,066 "
Tufts University;"$52,430 "
University of Michigan--Ann Arbor;"$43,476 "
Wake Forest University;"$49,308 "
University of North Carolina--Chapel Hill;"$33,916 "
Boston College;"$51,296 "
College of William & Mary;"$41,718 "
University of Rochester;"$50,142 "
Brandeis University;"$51,570 "
Georgia Institute of Technology;"$32,404 "
New York University;"$49,062 "
Case Western Reserve University;"$46,006 "
University of California--Santa Barbara;"$40,704 "
Boston University;"$50,240 "
Northeastern University;"$47,655 "
Rensselaer Polytechnic Institute;"$50,797 "
Tulane University;"$51,010 "
University of California--Irvine;"$39,458 "
Lehigh University;"$48,320 "
University of California--Davis;"$40,728 "
University of California--San Diego;"$41,387 "
University of Illinois--Urbana-Champaign;"$31,320 "
University of Miami;"$47,004 "
University of Wisconsin--Madison;"$32,738 "
Pepperdine University;"$50,022 "
University of Florida;"$28,666 "
Villanova University;"$49,280 "
Pennsylvania State University--University Park;"$32,382 "
Ohio State University--Columbus;"$29,229 "
University of Washington;"$34,791 "
George Washington University;"$51,950 "
Southern Methodist University;"$50,358 "
University of Georgia;"$29,844 "
University of Texas--Austin;"$34,676 "
Fordham University;"$47,317 "
Purdue University--West Lafayette;"$28,804 "
Syracuse University;"$45,022 "
University of Connecticut;"$35,858 "
University of Maryland--College Park;"$32,045 "
Worcester Polytechnic Institute;"$46,994 "
Clemson University;"$32,796 "
Yeshiva University;"$40,670 "
Brigham Young University--Provo;"$5,300 "
University of Pittsburgh;"$29,758 "
Rutgers University--New Brunswick;"$30,023 "
Baylor University;"$42,006 "
Stevens Institute of Technology;"$48,838 "
University of Minnesota--Twin Cities;"$22,210 "
American University;"$44,853 "
Clark University;"$43,150 "
Texas A&M University--College Station;"$28,768 "
University of Massachusetts--Amherst;"$30,123 "
Virginia Tech;"$29,371 "
Miami University--Oxford;"$31,592 "
University of California--Santa Cruz;"$40,241 "
University of Delaware;"$31,420 "
Colorado School of Mines;"$34,828 "
Michigan State University;"$39,090 "
Texas Christian University;"$42,670 "
University of Iowa;"$28,413 "
Binghamton University--SUNY;"$22,164 "
Indiana University--Bloomington;"$34,246 "
Marquette University;"$38,470 "
University of Denver;"$46,362 "
University of San Diego;"$46,140 "
University of Tulsa;"$38,796 "
Florida State University;"$24,673 "
North Carolina State University--Raleigh;"$26,399 "
University of Colorado--Boulder;"$35,079 "
University of Vermont;"$40,364 "
Drexel University;"$51,030 "
Saint Louis University;"$40,726 "
Stony Brook University--SUNY;"$26,266 "
Auburn University;"$28,840 "
Loyola University Chicago;"$41,384 "
SUNY College of Environmental Science and Forestry;"$17,620 "
University at Buffalo--SUNY;"$26,270 "
Illinois Institute of Technology;"$45,214 "
University of Alabama;"$26,950 "
University of Oregon;"$33,442 "
University of Tennessee;"$30,858 "
Rochester Institute of Technology;"$38,568 "
University of New Hampshire;"$31,424 "
University of San Francisco;"$44,494 "
University of South Carolina;"$31,282 "
Iowa State University;"$21,483 "
University of Dayton;"$40,940 "
University of Missouri;"$25,892 "
University of Nebraska--Lincoln;"$23,148 "
University of Oklahoma;"$21,451 "
University of the Pacific;"$44,588 "
University of Utah;"$27,039 "
Michigan Technological University;"$30,968 "
Seton Hall University;"$39,258 "
Temple University;"$25,994 "
University of California--Riverside;"$40,263 "
University of Kansas;"$25,932 "
University of St. Thomas;"$39,594 "
The Catholic University of America;"$42,536 "
DePaul University;"$37,626 "
Duquesne University;"$35,062 "
Howard University;"$24,908 "
University of Arizona;"$30,025 "
Arizona State University--Tempe;"$25,458 "
Clarkson University;"$46,132 "
Colorado State University;"$28,374 "
New School;"$45,535 "
Hofstra University;"$42,160 "
University of Kentucky;"$26,334 "
Kansas State University;"$23,429 "
Louisiana State University--Baton Rouge;"$27,005 "
Mercer University;"$35,130 "
New Jersey Institute of Technology;"$30,326 "
Rutgers University--Newark;"$29,480 "
University of Arkansas;"$23,168 "
University of Cincinnati;"$26,334 "
University of Mississippi;"$22,012 "
George Mason University;"$32,582 "
Oregon State University;"$28,846 "
Washington State University;"$25,673 "
Adelphi University;"$34,034 "
Ohio University;"$21,208 "
San Diego State University;"$18,244 "
St. John Fisher College;"$31,880 "
University at Albany--SUNY;"$22,244 "
University of Texas--Dallas;"$33,654 "
Illinois State University;"$20,886 "
Immaculata University;"$35,210 "
Oklahoma State University;"$20,978 "
University of California--Merced;"$39,944 "
University of Illinois--Chicago;"$26,526 "
University of La Verne;"$39,900 "
University of Massachusetts--Lowell;"$29,125 "
Seattle Pacific University;"$38,940 "
University of Alabama--Birmingham;"$17,654 "
University of Maryland--Baltimore County;"$24,492 "
University of Rhode Island;"$28,852 "
University of South Florida;"$17,325 "
Biola University;"$36,696 "
Maryville University of St. Louis;"$27,958 "
Missouri University of Science & Technology;"$26,152 "
St. John's University;"$39,460 "
Virginia Commonwealth University;"$31,608 "
Union University;"$30,420 "
University of Hawaii--Manoa;"$33,764 "
Edgewood College;"$27,530 "
Florida Institute of Technology;"$40,446 "
University of Idaho;"$22,040 "
University of Louisville;"$24,626 "
University of Wyoming;"$16,215 "
Ball State University;"$25,428 "
Lipscomb University;"$29,756 "
Mississippi State University;"$20,142 "
Montclair State University;"$20,318 "
Texas Tech University;"$22,861 "
University of Central Florida;"$22,467 "
University of New Mexico;"$21,302 "
Andrews University;"$27,684 "
Azusa Pacific University;"$36,120 "
University of Maine;"$29,498 "
West Virginia University;"$21,432 "
Widener University;"$42,870 "
Kent State University;"$18,376 "
North Dakota State University;"$19,790 "
Pace University;"$42,772 "
Robert Morris University;"$28,250 "
Suffolk University;"$35,578 "
University of Hartford;"$37,790 "
Bowling Green State University;"$18,332 "
University of Houston;"$25,410 "
Western Michigan University;"$25,713 "
Indiana University-Purdue University--Indianapolis;"$29,791 "
Lesley University;"$25,750 "
University of Alabama--Huntsville;"$20,622 "
University of Colorado--Denver;"$29,334 "
University of Nevada--Reno;"$21,052 "
California State University--Fullerton;"$17,596 "
Central Michigan University;"$23,670 "
Louisiana Tech University;"$25,851 "
South Dakota State University;"$11,403 "
University of Alaska--Fairbanks;"$22,469 "
University of North Carolina--Charlotte;"$20,193 "
University of North Dakota;"$18,899 "
University of South Dakota;"$11,688 "
East Carolina University;"$22,904 "
Montana State University;"$23,042 "
Old Dominion University;"$27,028 "
University of Missouri--Kansas City;"$22,714 "
Ashland University;"$20,392 "
Dallas Baptist University;"$26,180 "
Northern Illinois University;"$23,799 "
Nova Southeastern University;"$27,660 "
Southern Illinois University--Carbondale;"$27,130 "
University of Montana;"$24,562 "
Benedictine University;"$32,170 "
California State University--Fresno;"$17,209 "
Gardner-Webb University;"$29,850 "
New Mexico State University;"$21,234 "
Shenandoah University;"$31,322 "
Tennessee Technological University;"$24,800 "
University of Massachusetts--Boston;"$32,023 "
University of Massachusetts--Dartmouth;"$19,270 "
University of Missouri--St. Louis;"$26,277 "
University of North Carolina--Greensboro;"$21,595 "
University of Southern Mississippi;"$16,094 "
Utah State University;"$19,772 "
